最新价,涨跌幅,成交量,成交额,最高,最低,今开,指数代码,指数名称,category
1669.42,-0.86,113433214.0,317149434602.0,1678.41,1650.73,1671.23,000020,中型综指,上证系列指数
1059.36,-0.89,53004106.0,43503489175.0,1083.25,1059.36,1067.91,000134,上证银行,上证系列指数
1603.09,-0.89,62032377.0,303558670461.0,1610.38,1576.19,1603.05,000680,科创综指,上证系列指数
1548.5,-0.89,62032377.0,303558670461.0,1555.55,1522.52,1548.47,000681,科创价格,上证系列指数
4028.2,-0.9,69126339.0,65180966438.0,4115.68,4028.2,4060.76,000149,180红利,上证系列指数
3195.46,-0.93,50165107.0,226651611185.0,3207.14,3124.22,3177.4,000915,300信息,上证系列指数
1534.79,-0.93,42926686.0,35487966224.0,1558.91,1534.79,1544.64,000151,上国红利,上证系列指数
9983.79,-1.22,12973858.0,53789130803.0,10087.53,9836.14,10087.53,000111,380信息,上证系列指数
754.47,-1.33,13009728.0,11346947576.0,766.85,754.47,761.88,000027,180运输,上证系列指数
5325.21,-1.41,25268929.0,171336366901.0,5338.03,5199.28,5297.64,000039,上证信息,上证系列指数
1341.31,-1.71,15616830.0,111147793261.0,1346.76,1314.74,1335.65,000688,科创50,上证系列指数
